date,forecast,cases
2020-02-25,2.0,2.0
2020-02-26,3.177664885664466,4.0
2020-02-27,4.909913959585309,5.0
2020-02-28,7.457849344624276,8.0
2020-02-29,11.205431662622175,10.0
2020-03-01,16.717204694572036,29.0
2020-03-02,24.823048788886062,49.0
2020-03-03,36.74250079046606,70.0
2020-03-04,54.26687271508915,90.0
2020-03-05,80.02551539262126,137.0
2020-03-06,117.87397397429307,137.0
2020-03-07,173.45739515074467,175.0
2020-03-08,255.0230591020458,469.0
2020-03-09,374.58089943943025,782.0
2020-03-10,549.536873375728,1024.0
2020-03-11,804.9402255059603,1388.0
2020-03-12,1176.4659165169817,1990.0
2020-03-13,1714.1416973542664,2940.0
2020-03-14,2486.5205442355837,3544.0
2020-03-15,3584.3262339538933,4165.0
2020-03-16,4306.523582462469,4871.0
2020-03-17,5125.194221654961,5637.0
2020-03-18,6048.496484889128,6777.0
2020-03-19,7083.846046856392,7165.0
2020-03-20,8237.431371836681,8921.0
2020-03-21,9513.670615025674,9702.0
2020-03-22,10914.64047949998,10575.0
2020-03-23,12439.524380126042,12352.0
2020-03-24,14084.140253513275,14597.0
2020-03-25,15840.614856790578,17166.0
2020-03-26,17697.270898790695,19243.0
2020-03-27,19638.77803765896,21520.0
2020-03-28,21646.59161243357,22677.0
2020-03-29,23699.666319748103,24090.0
2020-03-30,25775.391451874937,27509.0
2020-03-31,27850.660420760316,29840.0
2020-04-01,29902.9653265365,32155.0
2020-04-02,31911.40575944235,34188.0
2020-04-03,33857.51781682765,36249.0
2020-04-04,35725.860419098055,37584.0
2020-04-05,37504.33392939994,38723.0
2020-04-06,39184.24258514233,40469.0
2020-04-07,40760.13935327185,42450.0
2020-04-08,42229.50885907386,43877.0
2020-04-09,43592.348365974336,
2020-04-10,44850.70243784808,
2020-04-11,46008.196611159285,
2020-04-12,47069.60273220457,
2020-04-13,48040.45620319278,
2020-04-14,48926.73467963073,
2020-04-15,49734.600093910994,
2020-04-16,50470.20006400605,
2020-04-17,51139.52194186402,
2020-04-18,51748.291241224266,
2020-04-19,52301.90603895433,
2020-04-20,52805.399511043215,
2020-04-21,53263.42372588248,
2020-04-22,53680.248939340665,
2020-04-23,54059.77369148118,
2020-04-24,54405.54218286308,
2020-04-25,54720.76595159896,
2020-04-26,55008.34796319719,
2020-04-27,55512.41163925242,
2020-04-28,55974.03063331876,
2020-04-29,56396.09267856033,
2020-04-30,56781.51941100043,
2020-05-01,57133.189403569544,
2020-05-02,57453.88330603865,
2020-05-03,57746.24584830288,
2020-05-04,58012.76248505697,
2020-05-05,58255.74673458608,
2020-05-06,58477.335871366486,
2020-05-07,58679.4925715409,
2020-05-08,58864.01066664792,
2020-05-09,59032.5236504688,
2020-05-10,59186.51474140217,
2020-05-11,59327.32783233784,
2020-05-12,59456.178669144865,
2020-05-13,59574.16588056281,
2020-05-14,59682.281581959294,
2020-05-15,59781.42139740416,
2020-05-16,59872.39379647706,
2020-05-17,59955.928678806624,
2020-05-18,60032.68525072845,
2020-05-19,60103.25917381367,
2020-05-20,60168.189032465714,
2020-05-21,60227.962158815506,
2020-05-22,60283.0198667629,
2020-05-23,60333.762146665686,
2020-05-24,60380.551867033086,
2020-05-25,60423.71852891407,
2020-05-26,60463.56162216543,
2020-05-27,60500.35362261252,
2020-05-28,60534.34267109022,
2020-05-29,60565.75496394837,
2020-05-30,60594.796889083336,
2020-05-31,60621.65693645205,
2020-06-01,60646.50740682669,
2020-06-02,60669.50594308223,
2020-06-03,60690.796900283836,
2020-06-04,60710.51257525931,
2020-06-05,60728.77431081489,
2020-06-06,60745.69348811556,
2020-06-07,60761.37242020516,
