date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-02-26,71961.65179795412,3.754145820319735,0.2736899821496284,71964.67963375658,1.0,0.0,1.0,4.0278358024693635
2020-02-27,71959.36466238204,5.834536624346931,0.48043475019954507,71960.67963375658,5.0,0.0,5.0,6.314971374546476
2020-02-28,71955.81027058326,9.067617459000274,0.8017457143301765,71956.67963375658,9.0,0.0,9.0,9.86936317333045
2020-02-29,71950.28672182179,14.091815322696998,1.3010966121032639,71946.67963375658,19.0,0.0,19.0,15.392911934800262
2020-03-01,71941.70371960953,21.89880373936011,2.077110407676214,71939.67963375658,26.0,0.0,26.0,23.97591414703632
2020-03-02,71928.36817571802,34.028459248877496,3.282998789711508,71914.67963375658,51.0,0.0,51.0,37.311458038589
2020-03-03,71907.65220387909,52.87071194462367,5.156717932894769,71872.67963375658,93.0,0.0,93.0,58.02742987751844
2020-03-04,71875.48003127618,82.13190405621027,8.06769842420195,71826.67963375658,139.0,0.0,139.0,90.19960248041222
2020-03-05,71825.53757510764,127.55291879526628,12.589139853687307,71768.67963375658,196.0,1.0,197.0,140.1420586489536
2020-03-06,71748.06082804676,198.00923649456774,19.609569215256386,71656.67963375658,307.0,2.0,309.0,217.61880570982413
2020-03-07,71627.99314278648,307.18219215449506,30.504298815612945,71453.67963375658,508.0,4.0,512.0,337.686490970108
2020-03-08,71442.2174673448,476.06487019661023,47.39729621517645,71231.67963375658,726.0,8.0,734.0,523.4621664117867
2020-03-09,71155.4820306377,736.6403950608462,73.55720805804934,70968.67963375658,981.0,16.0,997.0,810.1976031188956
2020-03-10,70714.5989014179,1137.0937884619404,113.98694387672589,70463.67963375658,1372.0,130.0,1502.0,1251.0807323386664
2020-03-11,70040.64345651501,1748.7565895138505,176.2795877276978,69759.67963375658,2018.0,188.0,2206.0,1925.0361772415483
2020-03-12,69019.5342980541,2674.334811624921,271.81052407753936,69033.67963375658,2719.0,213.0,2932.0,2946.14533570246
2020-03-13,67493.1225287002,4055.273136182819,417.28396887350533,68249.67963375658,3478.0,238.0,3716.0,4472.557105056325
2020-03-14,65256.58441466614,6072.606146356115,636.4890727342686,67309.67963375658,4096.0,560.0,4656.0,6709.095219090383
2020-03-15,62073.719138673005,8930.201584934723,961.7589101487978,66408.67963375658,4870.0,687.0,5557.0,9891.96049508352
2020-03-16,60908.59698935173,9687.562102117163,1369.520542287637,65595.67963375658,5683.0,687.0,6370.0,11057.0826444048
2020-03-17,59670.88331555148,10483.474879414873,1811.321438790192,64336.679633756576,6323.0,1306.0,7629.0,12294.796318205064
2020-03-18,58361.48754738388,11315.393955169395,2288.798131203268,62388.679633756576,8236.0,1341.0,9577.0,13604.192086372663
2020-03-19,56982.28284628826,12179.939355655662,2803.4574318126156,60637.679633756576,9889.0,1439.0,11328.0,14983.396787468278
2020-03-20,55536.16662950531,13072.873697881983,3356.6393063692476,58594.679633756576,11557.0,1814.0,13371.0,16429.513004251232
2020-03-21,54027.09312648561,13989.107230449665,3949.4792768212633,56272.679633756576,13347.0,2346.0,15693.0,17938.586507270928
2020-03-22,52460.074099774625,14922.73377002779,4582.871763954129,54598.679633756576,14447.0,2920.0,17367.0,19505.605533981918
2020-03-23,50841.14268557553,15867.101222966516,5257.435725214505,53095.679633756576,15544.0,3326.0,18870.0,21124.53694818102
2020-03-24,49177.27897361945,16814.91651474022,5973.484145396865,50425.679633756576,17714.0,3826.0,21540.0,22788.400660137086
2020-03-25,47476.29756078492,17758.3832297457,6730.998843225913,47523.679633756576,19586.0,4856.0,24442.0,24489.382072971614
2020-03-26,45746.699976465316,18689.36770575309,7529.611951538128,44581.679633756576,21412.0,5972.0,27384.0,26218.97965729122
2020-03-27,43997.49751860221,19599.586897493456,8368.595217660873,41214.679633756576,23295.0,7456.0,30751.0,27968.18211515433
2020-03-28,42238.012173008385,20480.809640871845,9246.857819876312,38856.679633756576,24026.0,9083.0,33109.0,29727.667460748155
2020-03-29,40477.665034089485,21325.061461468973,10162.953138198078,37834.679633756576,23558.0,10573.0,34131.0,31488.01459966705
2020-03-30,38725.762576569534,22124.822673264902,11115.094383922102,36962.679633756576,23310.0,11693.0,35003.0,33239.917057187005
2020-03-31,36991.29118016703,22873.20987002685,12101.178583562665,34418.679633756576,24614.0,12933.0,37547.0,34974.38845358952
2020-04-01,35282.729542960515,23564.132100037834,13118.817990758194,32618.679633756576,24655.0,14692.0,39347.0,36682.95009079603
2020-04-02,33607.88709202918,24192.414884204656,14165.377657522708,30832.679633756576,24558.0,16575.0,41133.0,38357.792541727365
2020-04-03,31973.77456273249,24753.887456938523,15238.017614085533,28997.679633756576,24635.0,18333.0,42968.0,39991.905071024055
2020-04-04,30386.509294241972,25245.432239310994,16333.738100203578,27257.679633756576,24623.0,20085.0,44708.0,41579.170339514574
2020-04-05,28851.25743908387,25664.99609143805,17449.42610323462,26367.679633756576,24114.0,21484.0,45598.0,43114.42219467267
2020-04-06,27372.21142422405,26011.566621107297,18581.90158842519,25841.679633756576,23666.0,22458.0,46124.0,44593.46820953248
2020-04-07,25952.599433275253,26285.118178307806,19727.96202217348,24278.679633756576,23906.0,23781.0,47687.0,46013.08020048129
2020-04-08,24594.722412943895,26486.533250941015,20884.423969871626,22888.679633756576,23655.0,25422.0,49077.0,47370.95722081264
2020-04-09,23300.013339323094,26617.505468123753,22048.16082630969,21473.679633756576,23571.0,26921.0,50492.0,48665.66629443344
2020-04-10,22069.113068132025,26680.430582383466,23216.135983241045,20524.679633756576,23055.0,28386.0,51441.0,49896.56656562451
2020-04-11,20901.957091588436,26678.29144115387,24385.43110101423,19663.679633756576,22555.0,29747.0,52302.0,51063.7225421681
2020-04-12,19797.86812911796,26614.542209433635,25553.26929520494,19123.679633756576,21881.0,30961.0,52842.0,52167.81150463858
2020-04-13,18755.650228574097,26492.996109096603,26717.033296085832,18782.679633756576,21375.0,31808.0,53183.0,53210.02940518243
2020-04-14,17773.68068008524,26317.720087480662,27874.278866190638,17791.679633756576,21359.0,32815.0,54174.0,54191.9989536713
2020-04-15,16849.996988732437,26092.938881609953,29022.74376341415,16693.679633756576,21115.0,34157.0,55272.0,55115.682645024106
2020-04-16,15982.37691981869,25822.94996358626,30160.35275035159,15790.679633756576,20807.0,35368.0,56175.0,55983.302713937854
2020-04-17,15168.410458709814,25512.05004355777,31285.219131488953,14952.679633756576,20570.0,36443.0,57013.0,56797.26917504672
2020-04-18,14247.614722838642,25318.95791685063,32399.10699406726,14136.679633756576,20222.0,37607.0,57829.0,57718.06491091789
2020-04-19,13389.98063517693,25072.3573449424,33503.3416536372,11175.679633756576,22238.0,38552.0,60790.0,58575.6989985796
2020-04-20,12592.379846913982,24777.603711170825,34595.696075671716,10781.679633756576,22071.0,39113.0,61184.0,59373.299786842545
2020-04-21,11851.530825169422,24439.97258437382,35674.17622421328,10153.679633756576,22075.0,39737.0,61812.0,60114.1488085871
2020-04-22,11164.080773999916,24064.582747402834,36737.016112353784,9240.679633756576,22116.0,40609.0,62725.0,60801.59885975662
2020-04-23,10526.673151638364,23656.337013085446,37782.66946903272,8122.679633756576,22514.0,41329.0,63843.0,61439.006482118166
2020-04-24,9936.000313341367,23219.87996959706,38809.79935081811,7550.679633756576,22438.0,41977.0,64415.0,62029.67932041517
2020-04-25,9388.845009990704,22759.56851236187,39817.26611140396,6884.679633756576,22331.0,42750.0,65081.0,62576.834623765826
2020-04-26,8882.110947343303,22279.45429150766,40804.11439490557,6652.679633756576,22024.0,43289.0,65313.0,63083.56868641323
2020-04-27,8412.843669326507,21783.276457444917,41769.559506985104,6192.679633756576,22222.0,43551.0,65773.0,63552.83596443002
2020-04-28,7978.24507019222,21274.46080606572,42712.97375749859,5420.679633756576,22656.0,43889.0,66545.0,63987.43456356431
2020-04-29,7575.68106059042,20756.125771564926,43633.87280160119,4754.679633756576,22792.0,44419.0,67211.0,64389.998573166115
2020-04-30,7202.684608817346,20231.092641360305,44531.90238357888,4301.679633756576,22781.0,44883.0,67664.0,64762.995024939184
2020-05-01,6856.955088230685,19701.89893988382,45406.82560564202,3895.6796337565756,22694.0,45376.0,68070.0,65108.72454552584
2020-05-02,6536.354776318536,19170.81403323443,46258.510824203564,3757.6796337565756,22386.0,45822.0,68208.0,65429.324857438
2020-05-03,6238.903274716735,18639.856093031733,47086.92026600807,3640.6796337565756,22289.0,46036.0,68325.0,65726.7763590398
2020-05-04,4466.78308279197,19572.76464504353,47926.13190592102,3529.6796337565756,22252.0,46184.0,68436.0,67498.89655096455
2020-05-05,3160.499221488298,20010.193905602137,48794.986506666086,3125.6796337565756,22418.0,46422.0,68840.0,68805.18041226822
2020-05-06,2227.0329062977617,20064.454271861516,49674.19245559724,2805.6796337565756,22363.0,46797.0,69160.0,69738.64672745875
2020-05-07,1571.7690452025683,19844.509233051973,50549.401355501985,2427.6796337565756,22364.0,47174.0,69538.0,70393.91058855396
2020-05-08,1115.494181103489,19439.550037640256,51410.63541501279,2194.6796337565756,22244.0,47527.0,69771.0,70850.18545265304
2020-05-09,798.1752729119894,18916.178843597012,52251.32551724753,1917.6796337565756,22223.0,47825.0,70048.0,71167.50436084454
2020-05-10,543.4131860343915,18354.0732225334,53068.19322518876,1812.6796337565756,21980.0,48173.0,70153.0,71422.26644772216
2020-05-11,374.53627811315755,17732.16762677859,53858.97572886481,1758.6796337565756,21920.0,48287.0,70207.0,71591.1433556434
